,Unnamed: 0,initial_age,weight,family_kind,race,marital_status,accumulated_capital,annual_contribution,income,new_accumulated_capital
6549,6549,50,3642,1,1,1,371469.236287743,0.24,56181.34,428725.73003676056
6550,6550,56,3707,1,1,1,58792.39926462268,0.2,55067.31,108307.88431105469
6551,6551,56,1823,1,1,1,96961.80626790714,0.19,27460.54,128313.12549614075
6552,6552,49,1864,1,1,1,280024.88608051755,0.14,35909.03,310780.0103384087
6553,6553,48,3539,2,1,5,-228648.27662938723,0.01,74243.47,-211321.533795408
6554,6554,43,1909,1,1,1,69064.70533116636,0.01,57668.99,85872.01456961276
6555,6555,60,3500,3,1,3,-240160.9579131463,0.28,56669.48,-175433.3713406279
6556,6556,54,3496,1,1,1,603403.7660698676,0.1,109598.36,652751.1906643637
6557,6557,57,3418,1,1,1,124818.7681437732,0.28,151032.77,272350.33796693484
6558,6558,57,3418,3,1,3,-121034.09410234384,0.32,39055.21,-66867.20494824463
6559,6559,60,3418,1,1,1,719829.3006802978,0.01,206511.63,741301.2429970545
6560,6560,58,3515,1,1,1,-163357.46249177164,0.3,80345.76,-72817.92157836365
6561,6561,59,3418,3,1,5,23691.14138129152,0.32,138643.72,177731.31587150594
6562,6562,36,1762,1,1,1,110378.4540051291,0.12,38182.44,139737.81279918988
6563,6563,39,1468,1,1,1,180845.15804045848,0.03,48886.75,200441.39641289847
6564,6564,45,1909,1,1,1,-241428.53850925376,0.23,6064.49,-227960.48709674657
6565,6565,56,3163,3,1,3,-264297.0560866885,0.19,52450.0,-218065.8168786885
6566,6566,47,3409,1,1,1,-168243.94594030647,0.01,124604.31,-149338.92661166485
6567,6567,48,1779,3,4,5,141982.51853674115,0.12,131553.32,206456.08079284354
6568,6568,59,3500,2,1,5,93310.64987428232,0.28,45177.47,147953.97376841994
6569,6569,51,1711,1,1,1,74576.72649470055,0.18,26869.16,104733.84750117734
6570,6570,54,3541,2,1,4,-187243.6106202887,0.32,73874.52,-98157.84495285829
6571,6571,51,3208,1,1,1,1133.483259559961,0.35,49853.3,70816.45131563996
6572,6572,45,3409,3,1,4,-19898.571266507537,0.31,83149.77,75883.10658785567
6573,6573,48,3409,2,1,5,491518.1847617313,0.27,52161.54,550655.33532752
6574,6574,42,2022,3,1,2,99348.87251959942,0.29,25218.23,137268.24498705062
6575,6575,55,1818,1,1,1,106404.44951666906,0.19,19941.61,133278.63811729147
6576,6576,54,3208,1,1,1,-223216.9275498846,0.04,90084.11,-196924.21413560622
6577,6577,37,2258,3,2,3,9141.001567360545,0.09,139132.26,63383.84542114295
6578,6578,52,3208,3,1,3,-81282.87265642501,0.08,28950.86,-59024.46126562821
6579,6579,55,1687,1,1,1,-143522.8967368603,0.21,92014.61,-67965.6379878187
6580,6580,48,3409,3,1,3,47956.5431811539,0.22,117737.92,144132.8265128403
6581,6581,38,1838,2,2,5,-273359.41655883216,0.33,44880.54,-211944.01235703696
6582,6582,50,3182,2,3,3,-106795.82528204662,0.12,26465.56,-81842.86073274742
6583,6583,49,1455,1,3,1,-9589.648494876534,0.03,181862.69,22508.732442558667
6584,6584,51,2174,2,3,5,-166172.85799523594,0.32,198916.7,48312.64828674808
6585,6585,43,2423,1,4,1,136835.18000325517,0.19,20308.63,163927.90987011438
6586,6586,55,3509,3,1,5,-210885.5020711124,0.13,52737.13,-174399.779339434
6587,6587,49,1808,3,1,3,101303.0223538132,0.14,14218.48,122541.3952410324
6588,6588,47,1808,1,1,1,-68080.78330147175,0.31,158758.4,101156.20286787226
6589,6589,46,1455,1,1,1,-132025.40883648358,0.15,72354.52,-83012.24358787558
6590,6590,40,1893,3,1,3,-10382.577252644953,0.32,287820.88,293261.3323101327
6591,6591,42,1893,1,1,1,136309.22885434917,0.29,45310.98,192489.72516536037
6592,6592,58,1479,1,3,1,47778.55348470684,0.05,38536.4,68817.08404822685
6593,6593,49,1808,3,1,3,58190.65770652783,0.09,23123.32,79712.68815540464
6594,6594,46,1893,1,1,1,553196.5842700921,0.34,42578.1,613565.178006636
6596,6596,54,3357,3,1,4,-280829.41120803275,0.08,98257.07,-241194.90169383117
6597,6597,56,3509,3,1,5,-248754.0124307831,0.25,60381.03,-186446.44152226308
6598,6598,59,3385,2,1,3,319325.8762041426,0.02,43769.26,337069.2773962898
6599,6599,56,2474,2,2,3,240089.54412269912,0.24,33388.44,280202.48030666076
6600,6600,42,2057,1,1,1,237996.8438798521,0.2,163833.63,355685.6660933881
6602,6602,49,1886,1,1,1,-92636.38221115076,0.35,99572.38,31582.330989537237
6603,6603,59,2009,1,4,1,-172375.6502238349,0.31,102586.0,-57711.283090074896
6604,6604,43,1817,1,1,1,54860.79318662647,0.29,31010.05,98044.01168309848
6605,6605,51,1817,1,3,1,284161.58681191155,0.14,83865.03,335957.4559440427
6606,6606,36,1805,1,3,1,172722.8719315136,0.25,49779.59,226724.3842230736
6607,6607,40,1799,1,3,1,66624.64606902754,0.12,74209.18,109532.66455692514
6608,6608,49,1634,1,1,1,101839.5559263625,0.09,91220.81,142568.7721630969
6609,6609,43,1787,1,3,1,-45733.28743858133,0.22,8098.33,-28002.269894667723
6610,6610,50,1525,1,3,1,102471.11323354163,0.2,26776.67,134254.3872481656
6612,6612,44,1525,1,3,1,16253.547518204026,0.15,14894.39,38255.25727106003
6613,6613,45,1702,1,3,1,55909.8680009759,0.09,57338.38,87082.40119470711
6614,6614,47,1702,3,3,3,86684.90464428008,0.33,18040.64,120342.51432676328
6615,6615,53,1824,2,3,5,21835.94908041506,0.08,91268.76,59718.385291563856
6616,6616,37,2618,2,1,3,227918.93704542107,0.12,73840.14,270688.1698043459
6617,6617,40,2220,1,1,1,339904.0934627151,0.05,69033.32,365721.3938000911
6618,6618,56,2120,1,1,1,147340.65164408597,0.32,84089.43,246670.53705095957
6619,6619,39,2046,1,1,1,44834.36219297616,0.03,58562.87,65340.330789665764
6620,6620,43,2071,1,1,1,44967.84241396075,0.12,86525.42,92507.65785233516
6621,6621,41,1911,1,1,1,360819.6454941901,0.23,30481.26,397790.69864324294
6622,6622,43,2231,1,1,1,-14862.239739846433,0.12,52448.91,19862.343525324766
6623,6623,49,2022,1,1,1,17661.71040027485,0.26,25043.96,53068.11403518045
6624,6624,37,1911,1,1,1,7323.9013348813105,0.22,66770.89,68360.15443795011
6625,6625,49,1972,3,1,2,-191227.01824890185,0.21,108651.91,-104720.31048317224
6626,6626,44,2026,1,4,1,357319.23524446395,0.23,13323.74,381923.0573858111
6627,6627,49,2010,1,1,1,-331812.4646845132,0.04,25864.2,-313570.1947848652
6628,6628,51,2021,1,1,1,11460.294953299772,0.0,83473.56,26460.294953299774
6629,6629,43,2181,3,1,4,33454.84633369381,0.1,85599.68,75281.2382077418
6630,6630,37,1814,1,1,1,70280.36775457136,0.04,71307.71,94219.31973243375
6631,6631,48,1789,1,1,1,-150219.41030238432,0.02,39152.46,-132765.3842247331
6632,6632,46,1490,1,3,1,-194924.84820419428,0.29,24027.36,-158087.78774239589
6633,6633,49,1789,2,1,5,352345.41877977125,0.12,22064.79,375643.3755453841
6634,6634,52,1761,3,1,3,-82121.61874564295,0.02,96988.39,-61042.51060558214
6635,6635,47,1789,3,1,3,193220.36387370623,0.27,180225.6,360720.54778333823
6636,6636,51,1761,3,1,3,-98731.32665035322,0.12,30020.63,-72441.39867839162
6637,6637,55,1480,2,1,3,19176.991185740404,0.05,82514.75,47106.788463540404
6638,6638,41,1863,1,1,1,56717.75049964608,0.06,80880.45,86926.19973671807
6639,6639,56,1779,1,1,1,52379.42084124943,0.15,78214.37,104147.24532029743
6640,6640,58,2283,3,2,5,-122144.84735316242,0.22,30184.9,-86333.38750455441
6641,6641,41,1875,1,1,1,43756.65150822356,0.31,244294.2,296093.3917792956
6642,6642,48,1642,1,3,1,-64554.89913614841,0.13,22952.77,-40203.67254979481
6643,6643,54,1875,1,1,1,554521.2567504966,0.22,113162.66,647543.0542370438
6644,6644,58,3418,3,1,2,-105846.65403967864,0.33,60236.79,-28549.83328688344
6645,6645,49,1864,1,1,1,-197947.3882377449,0.01,77231.21,-180527.01154431928
6647,6647,54,1642,1,3,1,-291862.2234724494,0.18,32764.58,-258379.44605081104
6648,6648,40,2916,2,2,1,500152.7978218798,0.12,46246.82,532544.9467119022
6649,6649,52,3208,1,1,1,116449.32207337194,0.15,87754.36,172701.80426751595
6650,6650,59,3163,3,1,5,24494.33999854885,0.04,17266.59,41658.83551847845
6651,6651,51,3208,1,1,1,98096.49808000756,0.3,76988.28,185479.40076103155
6652,6652,43,3792,1,1,1,92724.9041708064,0.14,127738.17,163770.1591060032
6653,6653,44,2027,1,1,1,116189.31750302765,0.28,38281.3,164781.23787813165
6654,6654,54,2108,1,2,1,16961.561166203566,0.16,38242.78,51137.629163336365
6655,6655,48,1966,3,2,5,21811.558719220968,0.21,3712.91,29824.48840511057
6656,6656,58,1539,1,3,1,5900.064729177267,0.29,13050.17,32760.60002422207
6659,6659,35,3843,2,1,5,148395.41089105618,0.13,74173.84,193614.6996575074
6661,6661,59,3539,1,1,1,45334.858700254445,0.08,84058.5,81409.57544073445
6662,6662,58,3509,1,1,1,893736.3266937172,0.24,81841.43,970292.9195981523
6663,6663,41,1893,1,1,1,224068.6759841251,0.31,42629.49,280484.0849296435
6664,6664,50,1790,1,1,1,760526.9420081585,0.12,85825.71,807803.6158835057
6665,6665,57,1871,1,1,1,-9054.696138463998,0.2,136638.8,91588.75472489599
6666,6666,50,2097,1,1,1,9172.058788266037,0.03,115102.58,34993.78236291243
6667,6667,44,2057,1,1,1,-45255.98227441552,0.35,38112.12,11548.348442096487
6668,6668,46,1967,1,4,1,181033.94487166297,0.11,43497.55,211028.98403591098
6669,6669,40,1530,1,1,1,-22742.56673956848,0.09,186313.06,44807.82180080592
6670,6670,48,2035,1,1,1,101715.3034360041,0.11,17127.21,122619.61723584571
6672,6672,52,3746,1,1,1,-300059.9429420429,0.07,89474.09,-265431.5179217661
6673,6673,44,2023,1,1,1,168780.5117918506,0.07,13418.66,186724.2373070538
6674,6674,43,2115,3,1,4,-323546.2649321678,0.17,98624.94,-256001.94243831496
6675,6675,38,1762,1,1,1,454514.0837650889,0.01,18214.77,470084.92299943604
6676,6676,55,1875,1,1,1,106954.1375832986,0.2,125157.91,200401.51355005061
6677,6677,56,3418,3,1,1,92042.5795883436,0.22,170045.49,224283.14979304437
6678,6678,52,3515,3,1,4,22555.282642934428,0.23,39471.68,66006.67799740483
6681,6681,36,3397,2,1,5,83852.32915222702,0.24,58280.0,142687.31877142703
6682,6682,51,3182,2,3,4,84129.26949615499,0.06,8337.59,98203.42290340937
6685,6685,44,2022,1,1,1,354117.1144407115,0.13,87734.27,404861.08077498514
6686,6686,53,1711,1,1,1,108784.70722651496,0.28,114751.0,224478.948408595
6687,6687,53,3163,1,1,1,77697.6524195963,0.17,75770.34,133065.74978349713
6688,6688,53,2168,3,2,4,-109317.75242014456,0.05,83848.21,-81179.00622741655
6689,6689,53,1790,3,1,3,-135880.81724388897,0.18,8984.55,-117335.73139990498
6690,6690,39,1586,1,3,1,-121980.4655235778,0.34,96478.56,-4178.870503443395
6691,6691,59,3385,2,1,3,466974.0234780231,0.29,23870.78,503668.7775471463
6692,6692,41,3551,1,1,1,67558.39112669976,0.29,99144.55,172665.06671685175
6693,6693,57,3509,3,1,3,-139549.29642669813,0.33,119872.65,-577.136054066119
6694,6694,48,1579,1,3,1,128058.09401798443,0.27,65548.01,198522.37645017164
6696,6696,52,1977,1,1,1,515677.186735837,0.13,22863.32,539991.9703474146
6697,6697,58,3707,1,1,1,307659.24360309343,0.12,114288.11,365639.83827920863
6698,6698,57,1942,1,1,1,68489.65717871505,0.35,275840.58,386053.010551723
6699,6699,50,2035,1,1,1,49805.14912679892,0.17,17896.57,74339.88897671732
6700,6700,45,3535,2,1,5,418355.6612060756,0.09,81102.53,456230.97366730275
6701,6701,38,1986,1,3,1,-94286.01473672935,0.21,37877.66,-54357.72066007975
6702,6702,53,1686,2,3,1,51098.69421513495,0.07,84174.67,84564.55621721335
6703,6703,54,1415,3,3,3,118238.1540161205,0.07,31079.54,140056.2442649813
6704,6704,55,1660,1,3,1,-167386.24799407902,0.2,16126.6,-142278.30153455902
6705,6705,49,1569,2,3,3,123815.33913122823,0.02,50796.64,141999.20750672903
6706,6706,45,1569,3,3,3,-110991.3887694696,0.02,101088.11,-89655.3154274504
6707,6707,57,1525,1,3,1,103664.21308263452,0.22,22614.88,134256.40212752414
6708,6708,45,1702,1,3,1,-129248.15855880974,0.25,133766.96,-9443.88567016973
6709,6709,57,2848,1,4,1,141136.27375843338,0.33,103441.4,263115.25378406537
6710,6710,47,1720,2,3,3,139840.4295567179,0.32,144814.25,300068.7788008779
6711,6711,35,1776,1,3,1,-27195.8160476,0.16,38132.43,6924.9191755168
6712,6712,53,1427,1,3,1,6085.037248977587,0.25,33408.74,47260.25049913759
6713,6713,41,1802,1,3,1,64278.33324858454,0.05,22808.27,82852.31617112055
6714,6714,47,1525,1,3,1,-220130.3364881162,0.28,15916.95,-191163.1797558602
6716,6716,56,2001,3,1,3,-111468.024104642,0.16,108485.74,-42070.0455330196
6717,6717,56,1993,1,2,1,-57472.49974523377,0.33,160618.26,123638.72485431505
6719,6719,40,2840,3,2,5,146386.52154514362,0.2,69156.1,204732.67982706364
6722,6722,46,2235,1,1,1,112691.8517922632,0.18,62368.79,162874.6151186024
6723,6723,53,2132,3,1,5,-321150.6157759128,0.1,57567.84,-288109.22315408883
6724,6724,57,1751,2,4,5,32692.40883559361,0.28,36335.37,79576.77158816322
6725,6725,50,2251,3,2,5,161674.0949662178,0.1,65609.96,197235.83652647378
6726,6726,58,2158,3,1,3,102872.63833958656,0.12,54825.12,138490.84841226495
6727,6727,45,2617,2,2,2,313607.1339399248,0.09,99616.8,356704.47475515684
6728,6728,44,2071,1,1,1,170474.3521991718,0.21,40748.89,212292.2789986902
6729,6729,55,2248,2,2,5,-52156.110633403136,0.24,2494.31,-46538.563736404736
6731,6731,47,2195,1,1,1,106440.82326108408,0.04,21345.08,124116.58784647926
6732,6732,42,2594,1,2,1,146706.8452178388,0.17,32222.0,178873.73180247878
6733,6733,52,2021,3,1,3,32163.48387822184,0.27,103858.99,135045.08935307467
6734,6734,57,1819,1,1,1,70220.99690019272,0.07,89841.69,104930.06436162154
6735,6735,37,1989,1,1,1,30533.501259036755,0.22,32622.35,68025.49981434876
6736,6736,45,1989,1,1,1,-28106.32580384567,0.16,129311.28,51734.19829184714
6737,6737,48,1961,2,1,3,76866.38231178693,0.25,78019.38,152993.31823170694
6738,6738,41,1977,1,1,1,186658.44753483063,0.19,106854.01,265284.43698466907
6739,6739,35,2828,3,2,5,72171.61438415966,0.3,59119.66,142754.78361868765
6740,6740,42,1878,1,1,1,41617.08550147675,0.14,65734.69,85458.24910305435
6741,6741,41,1878,3,1,1,124394.59446188968,0.07,130834.46,168096.47215830884
6742,6742,53,1761,1,1,1,-79649.69977139676,0.15,70738.03,-31396.430953484763
6743,6743,57,2246,1,2,1,575251.087083214,0.24,14731.72,601331.4713191948
6744,6744,45,1779,1,1,1,-92931.25810115304,0.14,15983.04,-70918.68267879143
6745,6745,50,1683,1,1,1,-90304.37689649784,0.34,94058.47,24918.519684394967
6746,6746,46,3396,2,1,4,-346112.0809212603,0.04,104631.77,-317995.7100913915
6747,6747,49,1789,1,1,1,-273294.62835036585,0.13,77448.12,-226741.35966832426
6749,6749,50,3221,2,1,3,16104.729328626066,0.03,18722.44,32864.97719034126
6750,6750,53,3221,3,1,5,-48025.74819160285,0.12,158090.59,26427.746759865953
6751,6751,52,1817,1,1,1,63943.44731372618,0.31,82078.16,158684.03444943178
6753,6753,43,3701,3,1,5,90737.24943603836,0.31,79063.3,182548.83930216637
6754,6754,48,3701,2,1,3,-18599.04195502337,0.05,19821.11,-493.1374455753712
6755,6755,48,1810,1,1,1,-53524.35608639197,0.29,76460.92,30966.49655013283
6756,6756,40,1691,1,1,1,96054.04705902444,0.1,26642.38,119403.59843979245
6757,6757,36,1691,1,1,1,910.5058529475356,0.31,87107.78,100537.47021579233
6758,6758,50,3332,2,1,5,34445.355209886664,0.11,79810.81,76958.77198118427
6759,6759,51,3078,3,1,1,-234537.06417501377,0.07,156125.89,-185286.86587080098
6760,6760,45,1917,1,4,1,-129356.50136981122,0.32,55909.84,-58286.78606413443
6761,6761,58,3035,1,1,1,488648.0923312621,0.08,184961.49,550020.6901012333
6763,6763,45,1744,1,1,1,115050.57428606598,0.13,38907.17,145901.8097798116
6765,6765,55,3557,1,1,1,-187794.44120538267,0.32,39076.82,-133605.88025705627
6766,6766,46,3662,1,1,1,-154589.68343758088,0.05,55250.46,-130932.1131570529
6767,6767,36,1630,1,1,1,-67105.69439050257,0.33,66629.84,16802.811512076638
6768,6768,42,1871,1,1,1,-217106.1048268332,0.16,136566.46,-133627.6175649836
6769,6769,49,1761,2,1,3,-23486.198427740488,0.25,22220.79,8923.435004619512
6770,6770,37,1773,1,1,1,-61907.126288612446,0.07,107148.07,-23401.46271536604
6771,6771,35,1997,2,1,3,-93366.87683504618,0.11,9829.11,-75234.7936505806
6772,6772,42,1832,1,1,1,-2399.4736476764897,0.25,59981.52,59595.08756800351
6773,6773,57,3289,2,1,5,505876.50627893215,0.3,78636.52,594809.0525617481
6774,6774,41,1832,1,1,1,108684.1817561067,0.16,38802.85,143141.08551892271
6775,6775,57,3035,3,1,3,97949.35011687134,0.24,49409.43,150112.38805682657
6776,6776,45,3035,2,1,5,99210.6253012425,0.15,57878.73,141418.8606384345
6777,6777,57,3367,1,1,1,-16512.31482240562,0.27,41920.33,33959.10563369199
6778,6778,46,1817,1,1,1,119095.15762393344,0.22,51986.56,169938.11904196863
6779,6779,49,2306,2,2,2,268129.2179915763,0.27,77135.85,348398.69863708835
6780,6780,53,1864,1,1,1,73685.91736790948,0.31,76473.37,162981.33802604867
6781,6781,41,3539,2,1,5,90588.27960290016,0.21,66656.09,149456.42281765057
6782,6782,47,1807,2,1,1,123494.22985260731,0.26,70127.04,195635.38021226172
6783,6783,52,3377,2,1,4,-98863.59077266364,0.27,38920.09,-50930.861555618845
6784,6784,58,3248,2,1,3,150640.29792110497,0.13,122125.26,215395.55526814176
6785,6785,50,1735,1,1,1,215695.08441852004,0.31,54068.07,283223.30443581124
6786,6786,46,3539,2,1,5,-313610.4701402187,0.06,75221.8,-284466.05171993066
6787,6787,49,3496,3,1,3,8879.61640357648,0.02,43931.53,26633.18847161808
6788,6788,45,3496,2,1,3,-163867.35284747786,0.18,113757.75,-84695.64140675787
6789,6789,59,3418,3,1,3,-56085.38622715606,0.17,71469.29,-3008.7554868312563
6790,6790,52,1312,1,3,1,124438.2795385717,0.01,57669.52,141245.60538687892
6791,6791,47,1303,1,3,1,-76234.60628214,0.26,63522.34,-9475.119768277596
6792,6792,52,3588,2,1,3,-165719.52367594803,0.03,18450.2,-148984.87129633204
6793,6793,59,3737,2,1,5,315522.3130700855,0.26,77078.4,393327.5939415095
6794,6794,52,2136,2,2,3,73409.62637778051,0.27,56075.84,135858.91167846532
6795,6795,57,2002,1,2,1,-167693.19878867155,0.34,177374.98,36306.625220563656
6796,6796,41,1933,1,4,1,41687.8943491836,0.05,68814.47,67470.9015918796
6797,6797,43,3801,1,3,1,104.66795341118264,0.1,47785.73,30080.409906739187
6798,6798,51,3357,3,1,4,83439.83679422217,0.3,12438.22,110134.01242439817
6799,6799,53,3357,3,1,3,22376.31595031225,0.23,19231.17,51238.244826889844
6800,6800,47,1808,3,1,3,102811.09417531824,0.32,69444.28,187453.95148286383
6801,6801,56,3707,1,1,1,787.3696957306393,0.3,54855.45,67361.41056109064
6802,6802,54,1415,3,3,5,-18263.742295234555,0.22,91657.0,59930.635534205445
6803,6803,50,2760,3,3,5,73221.59160549178,0.28,52034.47,133881.94726218938
6804,6804,40,1795,1,4,1,75632.52118166618,0.18,94821.11,144121.91341567898
6805,6805,49,2022,1,1,1,171138.25011341748,0.11,33267.11,197606.51941436305
6806,6806,51,2106,1,1,1,-111597.15216753422,0.29,44084.42,-56531.404413169425
6807,6807,56,2546,2,2,5,100486.8227260243,0.07,73551.49,131622.2190915491
6808,6808,58,2459,3,2,5,-89970.87515227719,0.28,39484.07,-40323.52160041158
6809,6809,47,2059,1,1,1,77423.18214351441,0.19,14226.75,100894.46970123441
6812,6812,57,1495,3,3,3,98403.02586272296,0.15,43773.07,133980.32584825097
6813,6813,58,1495,3,1,2,67006.81696966314,0.25,25639.04,102094.59458502314
6814,6814,43,1863,1,1,1,102557.97549555462,0.02,118704.5,124998.22161379462
6815,6815,46,3539,2,1,5,-142334.07354711162,0.15,133938.36,-64370.936319367625
6816,6816,53,1642,1,1,1,171284.41518371273,0.28,36149.43,218005.61519952712
6817,6817,53,1875,1,1,1,-237466.6255139104,0.04,152041.81,-203407.053439344
6818,6818,44,2972,2,1,1,-69192.41113545386,0.07,80343.26,-36567.066694458656
6819,6819,56,3163,1,1,1,98776.653087611,0.04,25363.66,116956.17657424141
6820,6820,51,3208,1,1,1,274351.5943378321,0.2,112163.66,359654.3407309842
6821,6821,41,2022,1,1,1,92005.25800496136,0.17,169638.38,197383.348435787
6822,6822,38,2875,1,2,1,-54935.85641741121,0.13,26310.68,-29216.57807666881
6823,6823,39,3768,3,1,5,92996.60943539235,0.02,153023.14,117587.90398097315
6824,6824,35,2097,1,1,1,-8108.704122791185,0.0,94908.29,6891.295877208815
6825,6825,58,1559,1,1,1,51505.33606270707,0.14,156877.33,135335.4277526303
6826,6826,41,3551,1,1,1,-65751.62572825773,0.32,12832.07,-37882.86216745133
6828,6828,45,2464,1,4,1,459622.7317968304,0.16,31155.64,490245.09688467684
6829,6829,57,3418,1,1,1,-147485.56402428995,0.0,99240.4,-132485.56402428995
6830,6830,49,3539,2,1,4,136963.11244910193,0.28,9702.63,160031.1354555723
6831,6831,41,1781,1,4,1,40174.290108517125,0.06,34964.88,61748.95187857792
6832,6832,51,4569,1,2,1,511243.221962005,0.17,36810.18,545854.5491676467
6833,6833,51,3208,1,1,1,20182.16055157485,0.15,37143.83,52643.11845380685
6834,6834,36,1844,1,1,1,156991.45022442422,0.03,64253.68,178032.45785095863
6836,6836,42,1704,3,3,1,-297571.20155736885,0.2,24290.48,-267346.23961151286
6837,6837,42,1704,1,3,1,-200283.8724262816,0.16,61009.59,-154691.8483548832
6838,6838,45,1893,1,1,1,115469.53888970074,0.08,84256.91,151593.99996952154
6839,6839,53,1790,1,1,1,37308.82551696112,0.25,182002.49,194904.86439212112
6840,6840,49,1808,1,1,1,-202664.1004911412,0.18,15618.61,-178853.5101443284
6841,6841,46,2035,1,1,1,19161.14861156353,0.2,49854.08,65409.04782333954
6844,6844,55,1647,3,1,5,25003.94886453822,0.25,65438.85,91274.24081793822
6846,6846,60,3707,1,1,1,-1081.5485260921998,0.09,49999.95,28021.149371195803
6847,6847,42,1802,3,3,5,-74814.77378730147,0.01,38608.53,-58604.80716656066
6848,6848,49,2416,2,3,5,-26197.57853781573,0.35,83360.22,80238.37951125627
6849,6849,35,1417,1,3,1,131496.08652078215,0.32,17006.9,163551.61809147015
6850,6850,46,2204,3,2,5,38965.28557746988,0.06,68772.59,66897.01931432428
6851,6851,47,1960,1,1,1,-8467.41853847491,0.03,49462.49,11182.94980334429
6852,6852,48,2120,1,2,1,13903.115278875732,0.04,22966.41,31782.12564246613
6854,6854,35,1838,2,1,5,-75975.98181187363,0.01,178406.33,-55384.841609724834
6855,6855,44,1686,3,1,3,98507.52933722732,0.21,96928.66,177298.85490843692
6856,6856,41,1870,1,1,1,393843.8490857774,0.23,116430.81,492767.7916884543
6857,6857,56,3113,2,1,1,112418.08578057532,0.21,126286.03,210530.27628053215
6858,6858,52,3233,1,1,1,17905.52196465974,0.16,143290.53,104755.65803283255
6859,6859,46,1708,1,1,1,-199980.9480866592,0.17,13345.86,-177870.68599881598
6860,6860,45,1778,1,1,1,554840.4887822865,0.05,43311.32,576627.2340300626
6861,6861,39,1620,2,1,5,-133399.29598223596,0.17,25249.42,-104947.18470832556
6862,6862,60,3175,2,1,3,103313.4271147549,0.27,31899.61,145305.68787929413
6863,6863,54,3409,2,1,5,50368.82540072501,0.21,62812.01,106707.0774687106
6864,6864,52,3233,3,1,3,-54674.17236310503,0.12,103299.8,-825.9769215690303
6865,6865,55,3144,3,1,1,41020.33046726882,0.08,36819.54,65251.537020024014
6866,6866,39,1621,1,1,1,426092.1087760931,0.05,150712.54,464708.2815139651
6867,6867,57,2909,1,1,1,5198.81747764904,0.18,57799.76,52804.15223561384
6868,6868,51,2950,1,1,1,-62461.9590354488,0.29,30519.71,-19724.38185066641
6869,6869,49,3294,3,1,5,-277987.0142328748,0.28,104861.41,-170970.90884614197
6870,6870,49,1757,1,1,1,-119191.01514038489,0.34,29168.15,-73111.23592532889
6872,6872,42,1741,1,1,1,54710.84927297728,0.04,37323.71,74389.65400987968
6873,6873,57,1301,1,3,1,6216.5340162006505,0.18,40280.62,43939.17333785825
6874,6874,58,1647,1,1,1,111716.7418754565,0.24,64799.06,175455.0075314949
6876,6876,59,1767,3,2,3,231873.3551479237,0.15,94560.99,291325.56876141974
6877,6877,37,3222,2,1,5,25684.55743081481,0.06,127572.2,64672.74404156681
6878,6878,35,3932,3,2,5,43758.99616192166,0.15,148858.46,128735.92916670567
6879,6879,43,1892,3,1,5,-12646.05359933549,0.1,50273.85,18109.449238024514
6880,6880,60,3510,2,1,5,-75947.94006184179,0.15,33391.72,-45250.81305035378
6881,6881,36,1797,1,1,1,149249.4122940303,0.25,12610.61,174129.6234592703
6882,6882,51,2007,2,2,5,65388.90981696846,0.05,153390.78,104424.75419247246
6883,6883,46,1715,1,1,1,4690.052951837423,0.18,39214.8,41811.45417334142
6885,6885,60,3219,3,1,5,-22773.441335703505,0.06,125727.76,15867.923860098093
6886,6886,52,3233,3,1,5,52226.74471538894,0.04,217284.84,94465.01600859854
6887,6887,41,1756,1,1,1,-316655.84565218043,0.11,30403.18,-291174.86741736764
6888,6888,57,2100,3,2,3,-243339.83718462693,0.34,36150.61,-189819.9798303005
6890,6890,46,3420,2,1,5,-67364.35789380503,0.03,41620.97,-48451.23420666743
6891,6891,55,3677,3,3,3,-43321.95387936749,0.13,41808.81,-11288.556358466683
6892,6892,42,1779,1,3,1,-3577.471303840469,0.04,120434.7,26519.91437532753
6893,6893,44,1860,1,1,1,-183422.4974837348,0.05,11091.94,-166684.42597994278
6894,6894,40,1860,1,1,1,28703.77302562114,0.02,97613.08,49822.035935278735
6895,6895,54,2950,3,1,2,72297.11145788498,0.27,16986.2,101670.20065234898
6896,6896,50,1573,1,1,1,-6685.270761734918,0.16,181543.67,99346.12811588429
6897,6897,41,1860,1,1,1,5317.187888662004,0.35,43177.26,67677.35721203801
6898,6898,47,2188,2,2,5,127612.4501244206,0.05,4347.27,134814.5584221566
6899,6899,47,1900,3,2,5,10740.836359071907,0.12,32284.62,37882.18830279031
6900,6900,37,2181,3,2,4,-205978.12038308376,0.29,30976.3,-162825.57528521176
6901,6901,48,3119,1,1,1,-246593.2794063132,0.13,73704.95,-201565.0219024972
6903,6903,41,2231,1,1,1,148518.2730072981,0.22,108357.81,238227.2901681333
6904,6904,36,1993,1,4,1,-192739.2349883308,0.24,90025.95,-110026.6992349228
6905,6905,60,1951,1,4,1,-190279.29290323483,0.03,123526.69,-163665.55068067965
6907,6907,49,1872,1,1,1,294097.8512065702,0.26,18399.37,324090.08769185346
6909,6909,60,3167,1,1,1,129678.5478359605,0.17,47305.62,169881.52137441488
6910,6910,50,3350,1,1,1,358466.2947461689,0.08,23440.61,379343.2044694457
6911,6911,55,3409,3,1,3,86950.67065965326,0.09,105001.69,131566.84253131886
6912,6912,47,3415,2,1,5,795900.8719797286,0.02,39549.9,813379.8090878567
